sound_id,volume
0,1.12
1,1.43
2,1.78
3,2.16
4,2.59
5,3.05
6,3.55
7,4.08
8,4.65
9,5.26
10,5.91
11,6.6
12,7.32
13,8.09
14,8.89
15,9.72
16,10.6
17,11.51
18,12.46
19,13.45
20,14.48
21,15.54
22,16.64
23,17.78
24,18.96
25,20.17
26,21.43
27,22.71
28,24.03
29,25.36
30,26.68
31,28.01
32,29.33
33,30.65
34,31.98
35,33.3
36,34.63
37,35.95
38,37.27
39,38.6
40,39.92
41,41.24
42,42.57
43,43.89
44,45.22
45,46.54
46,47.86
47,49.19
48,50.51
49,51.84
50,53.16
51,54.48
52,55.81
53,57.13
54,58.46
55,59.78
56,61.1
57,62.43
58,63.75
59,65.07
60,66.4
61,67.72
62,69.05
63,70.37
64,71.69
65,73.02
66,74.34
67,75.67
68,76.99
69,78.31
70,79.64
71,80.96
72,82.29
73,83.61
74,84.93
75,86.26
76,87.58
77,88.9
78,90.23
79,91.55
80,92.88
81,94.2
82,95.52
83,96.85
84,98.17
85,99.49
86,100.82
87,102.14
88,103.47
89,104.79
90,106.11
91,107.44
92,108.76
93,110.09
94,111.41
95,112.73
96,114.06
97,115.38
98,116.71
99,118.03
100,119.35
101,120.68
102,122
103,123.32
104,124.65
105,125.97
106,127.3
107,128.62
108,129.94
109,131.27
110,132.59
111,133.92
112,135.24
113,136.56
114,137.89
115,139.21
116,140.53
117,141.86
118,143.18
119,144.51
120,145.83
121,147.15
122,148.48
123,149.8
124,151.13
125,152.45
126,153.77
127,155.1
128,156.42
129,157.74
130,159.07
131,160.39
132,161.72
133,163.04
134,164.36
135,165.69
136,167.01
137,168.34
138,169.66
139,170.98
140,172.31
141,173.63
142,174.96
143,176.28
144,177.6
145,178.93
146,180.25
147,181.57
148,182.9
149,184.22
150,185.55
151,186.87
152,188.08
