sound_id,volume
0,0.529
1,0.795
2,1.062
3,1.33
4,1.598
5,1.868
6,2.138
7,2.409
8,2.681
9,2.954
10,3.228
11,3.503
12,3.778
13,4.055
14,4.332
15,4.61
16,4.489
17,5.169
18,5.45
19,5.73
20,6.014
21,6.298
22,6.582
23,6.867
24,7.153
25,7.44
26,7.728
27,8.017
28,8.306
29,8.596
30,8.89
31,9.18
32,9.473
33,9.767
34,10.062
35,10.357
36,10.654
37,10.95
38,11.249
39,11.549
40,11.849
41,12.15
42,12.451
43,12.754
44,13.057
45,13.362
46,13.667
47,13.973
48,14.28
49,14.588
50,14.897
51,15.207
52,15.517
53,15.828
54,16.141
55,16.454
56,16.768
57,17.083
58,17.398
59,17.72
60,18.032
61,18.35
62,18.669
63,18.987
64,19.305
65,19.624
66,19.924
67,20.262
68,20.581
69,20.9
70,21.22
71,21.539
72,21.859
73,22.179
74,22.499
75,22.82
76,23.14
77,23.461
78,23.782
79,24.103
80,24.424
81,24.75
82,25.067
83,25.389
84,25.711
85,26.033
86,26.355
87,26.678
88,27.00
89,27.323
90,27.646
91,27.969
92,28.29
93,28.626
94,28.94
95,29.26
96,29.59
97,29.912
98,30.24
99,30.56
100,30.89
101,31.21
102,31.54
103,31.86
104,32.19
105,32.51
106,32.84
107,33.16
108,33.49
109,33.82
110,34.14
111,34.47
112,34.80
113,35.12
114,35.45
115,35.78
116,36.11
117,36.43
118,36.76
119,37.09
120,37.42
121,37.75
122,38.07
123,38.40
124,38.73
125,39.06
126,39.39
127,39.72
128,40.05
129,40.38
130,40.71
131,41.04
132,41.37
133,41.70
134,42.03
135,42.35
136,42.68
137,43.01
138,43.342
139,43.671
140,44
141,44.33
142,44.659
143,44.988
144,45.318
145,45.647
146,45.976
147,46.305
148,46.635
149,46.964
150,47.293
151,47.622
152,47.952
153,48.281
154,48.61
155,48.94
156,49.269
157,49.598
158,49.927
159,50.257
160,50.586
161,50.915
162,51.245
163,51.574
164,51.903
165,52.232
166,52.562
167,52.891
168,53.22
169,53.55
170,53.879
171,54.208
172,54.537
173,54.867
174,55.196
175,55.525
176,55.854
177,56.184
178,56.513
179,56.842
180,57.172
181,57.501
182,57.83
183,58.159
184,58.489
185,58.818
186,59.147
187,59.477
188,59.806
189,60.135
190,60.464
191,60.794
192,61.123
193,61.452
194,61.782
195,62.111
196,62.44
197,62.769
198,63.099
199,63.428
200,63.757
201,64.086
202,64.416
203,64.745
204,65.074
205,65.404
206,65.733
207,66.062
208,66.391
209,66.721
210,67.05
211,67.379
212,67.709
213,68.038
214,140.45
215,141.26
216,142.08
217,142.9
218,143.72
219,144.54
220,145.36
221,146.19
222,147.01
223,147.84
224,148.67
225,149.5
226,150.33
227,151.17
228,152
229,152.84
230,153.68
231,154.52
232,155.36
233,156.2
234,157.05
235,157.9
236,158.74
237,159.6
238,160.45
239,161.29
240,162.15
241,163.01
242,163.86
243,164.72
244,165.58
245,166.44
246,167.31
247,168.17
248,169.04
249,169.91
250,170.77
251,171.65
252,172.52
253,173.39
254,174.27
255,175.14
256,176.02
257,176.9
258,177.78
259,178.67
260,179.55
261,180.44
262,181.32
263,182.21
264,183.1
265,184
266,184.89
267,185.79
268,186.68
269,187.58
270,188.48
271,189.38
272,190.29
273,191.19
274,192.1
275,193
276,193.91
277,194.82
278,195.73
279,196.65
280,197.56
281,198.48
282,199.4
283,200.32
284,201.24
285,202.16
286,203.09
287,204.01
288,204.94
289,205.87
290,206.8
291,207.73
